hgnc_symbol,go_id,name_1006
CDC6,GO:0000076,DNA replication checkpoint
CDC6,GO:0000083,regulation of transcription involved in G1/S transition of mitotic cell cycle
CDC6,GO:0000922,spindle pole
CDC6,GO:0008156,negative regulation of DNA replication
CDC6,GO:0030071,regulation of mitotic metaphase/anaphase transition
CDC6,GO:0051233,spindle midzone
CDC6,GO:0007089,traversing start control point of mitotic cell cycle
CDC6,GO:0032467,positive regulation of cytokinesis
CDC6,GO:0051984,positive regulation of chromosome segregation
ISY1-RAB43,GO:0000350,generation of catalytic spliceosome for second transesterification step
NME7,GO:0005524,ATP binding
NME7,GO:0004550,nucleoside diphosphate kinase activity
NME7,GO:0006165,nucleoside diphosphate phosphorylation
NME7,GO:0006183,GTP biosynthetic process
NME7,GO:0006228,UTP biosynthetic process
NME7,GO:0006241,CTP biosynthetic process
NME7,GO:0046872,metal ion binding
NME7,GO:0000166,nucleotide binding
NME7,GO:0016301,kinase activity
NME7,GO:0016740,transferase activity
NME7,GO:0016310,phosphorylation
NME7,GO:0005515,protein binding
NME7,GO:0009117,nucleotide metabolic process
NME7,GO:0005813,centrosome
NME7,GO:0005829,cytosol
OLFML2A,GO:0005576,extracellular region
OLFML2A,GO:0042802,identical protein binding
OLFML2A,GO:0050840,extracellular matrix binding
OLFML2A,GO:0030198,extracellular matrix organization
OLFML2A,GO:0031012,extracellular matrix
SIM2,GO:0003677,DNA binding
SIM2,GO:0006355,"regulation of transcription, DNA-templated"
SIM2,GO:0005515,protein binding
SIM2,GO:0003700,DNA-binding transcription factor activity
SIM2,GO:0046983,protein dimerization activity
SIM2,GO:0005634,nucleus
SIM2,GO:0005654,nucleoplasm
SIM2,GO:0016604,nuclear body
SIM2,GO:0007275,multicellular organism development
SIM2,GO:0030154,cell differentiation
SIM2,GO:0007399,nervous system development
SIM2,GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific"
SIM2,GO:0006357,regulation of transcription by RNA polymerase II
SIM2,GO:0045944,positive regulation of transcription by RNA polymerase II
SIM2,GO:0000790,nuclear chromatin
SIM2,GO:0046982,protein heterodimerization activity
SIM2,GO:0000122,negative regulation of transcription by RNA polymerase II
SIM2,GO:0009880,embryonic pattern specification
SIM2,GO:0030324,lung development
SIM2,GO:0045892,"negative regulation of transcription, DNA-templated"
SLFN11,GO:0005524,ATP binding
SLFN11,GO:0003723,RNA binding
SLFN11,GO:0005634,nucleus
SLFN11,GO:0000166,nucleotide binding
SLFN11,GO:0005654,nucleoplasm
SLFN11,GO:0005829,cytosol
SLFN11,GO:0016787,hydrolase activity
SLFN11,GO:0005694,chromosome
SLFN11,GO:0006974,cellular response to DNA damage stimulus
SLFN11,GO:0000049,tRNA binding
SLFN11,GO:0016887,ATPase activity
SLFN11,GO:0004386,helicase activity
SLFN11,GO:0002376,immune system process
SLFN11,GO:0051607,defense response to virus
SLFN11,GO:0005515,protein binding
SLFN11,GO:0010942,positive regulation of cell death
SLFN11,GO:0008156,negative regulation of DNA replication
SLFN11,GO:2000134,negative regulation of G1/S transition of mitotic cell cycle
SLFN11,GO:0090734,site of DNA damage
SLFN11,GO:0043111,replication fork arrest
SLFN11,GO:0004521,endoribonuclease activity
SLFN11,GO:0008270,zinc ion binding
SLFN11,GO:0016075,rRNA catabolic process
SLFN11,GO:0016078,tRNA catabolic process
TBC1D25,GO:0005737,cytoplasm
TBC1D25,GO:0005515,protein binding
TBC1D25,GO:0031410,cytoplasmic vesicle
TBC1D25,GO:0006914,autophagy
TBC1D25,GO:0005096,GTPase activator activity
TBC1D25,GO:0017137,Rab GTPase binding
TBC1D25,GO:0006886,intracellular protein transport
TBC1D25,GO:0090630,activation of GTPase activity
TBC1D25,GO:0005776,autophagosome
TBC1D25,GO:1901096,regulation of autophagosome maturation
